"movie.name","movie.cast","movie.link","year","votes","rating"
"Star Wars: Episode V - The Empire Strikes Back","Irvin Kershner (dir.), Mark Hamill, Harrison Ford","http://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14",1980,"1043018",8.7
"Inception","Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt","http://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15",2010,"1822289",8.7
"The Lord of the Rings: The Two Towers","Peter Jackson (dir.), Elijah Wood, Ian McKellen","http://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16",2002,"1338209",8.7
"One Flew Over the Cuckoo's Nest","Milos Forman (dir.), Jack Nicholson, Louise Fletcher","http://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17",1975,"824499",8.7
"Goodfellas","Martin Scorsese (dir.), Robert De Niro, Ray Liotta","http://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18",1990,"897614",8.7
"The Matrix","Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne","http://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19",1999,"1493244",8.6
"Shichinin no samurai","Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura","http://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20",1954,"280924",8.6
"Se7en","David Fincher (dir.), Morgan Freeman, Brad Pitt","http://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21",1995,"1275303",8.6
"Cidade de Deus","Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino","http://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22",2002,"639298",8.6
"Star Wars","George Lucas (dir.), Mark Hamill, Harrison Ford","http://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23",1977,"1112598",8.6
"The Silence of the Lambs","Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins","http://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24",1991,"1122333",8.6
"It's a Wonderful Life","Frank Capra (dir.), James Stewart, Donna Reed","http://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25",1946,"353894",8.6
"La vita è bella","Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi","http://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26",1997,"547139",8.6
"Sen to Chihiro no kamikakushi","Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette","http://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27",2001,"551283",8.5
