"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc"
"99","doc97",1,1,"way","1","way","way","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"100","doc98",1,1,"thats","1","thats","that","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n"
"101","doc99",1,1,"away","1","away","away","ADV","RB",NA,"0","root",NA,"SpacesAfter=\n"
"102","doc100",1,1,"would","1","would","would","AUX","MD","VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"103","doc101",1,1,"said","1","said","say","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"104","doc102",1,1,"ary","1","ary","ary","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"105","doc103",1,1,"use","1","use","use","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"106","doc104",1,1,"much","1","much","much","ADV","RB",NA,"0","root",NA,"SpacesAfter=\n"
"107","doc105",1,1,"hey","1","hey","hey","INTJ","UH",NA,"0","root",NA,"SpacesAfter=\n"
"108","doc106",1,1,"well","1","well","well","INTJ","UH",NA,"0","root",NA,"SpacesAfter=\n"
"109","doc107",1,1,"said","1","said","say","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"110","doc108",1,1,"placed","1","placed","place","VERB","VBN","Tense=Past|VerbForm=Part","0","root",NA,"SpacesAfter=\n"
"111","doc109",1,1,"humans","1","humans","human","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n"
"112","doc110",1,1,"water","1","water","water","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"113","doc111",1,1,"may","1","may","may","AUX","MD","VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"114","doc112",1,1,"nice","1","nice","nice","ADJ","JJ","Degree=Pos","0","root",NA,"SpacesAfter=\n"
"115","doc113",1,1,"zomato","1","zomato","zomato","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"116","doc114",1,1,"swiggy","1","swiggy","swiggy","INTJ","UH",NA,"0","root",NA,"SpacesAfter=\n"
"117","doc115",1,1,"order","1","order","order","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"118","doc116",1,1,"food","1","food","food","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"119","doc117",1,1,"delivery","1","delivery","delivery","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"120","doc118",1,1,"customer","1","customer","customer","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
