"","UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"1","54929901","Healthy and hygiene food packing of food is very nice and I like the packing. The starter bangala chicken is very tasty and crispy I like the food ",5,"2019-05-13 07:09:28",1,15,0
"2","45371929","Very nice ambience and great food. Natu kodi dish was awesome and overall a great experience. Must visit place for food lovers. Their candle light dinner is perfect spot for romantic dinners with your love",5,"2019-05-01 16:35:10",1,1,0
