"","UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"1","30679472","Nice place to hang out with friends and family.... Very friendly staff...food is good. Recommend the burgers and the Desi chaats. They have a pretty collection to try out.",5,"2018-12-14 19:39:07",2,22,0
"2","51157789","Nice place to hangout with friends. Food was delicious with different variety of foods. Ghee roasted chicken tastes good..... Their unique flavour separates them from other food stalls......i recommend this if you would love to have something new..... ",5,"2018-10-21 17:43:33",1,1,2
