TIME 2018-10-31 17:15:05,5046.275584,202.993752,54.158412999999996,5303.427749
TIME 2018-10-31 17:30:05,5041.734992,202.655634,54.027936999999994,5298.418562999999
TIME 2018-10-31 17:45:04,5040.7728,202.66588000000002,54.10404799999999,5297.542727999999
TIME 2018-10-31 18:00:04,5045.599664,202.66588000000002,54.158412999999996,5302.423957
TIME 2018-10-31 18:15:04,5043.086832,202.706864,54.180158999999996,5299.973854999999
TIME 2018-10-31 18:30:04,5041.88608,202.51219,54.158412999999996,5298.556683000001
TIME 2018-10-31 18:45:04,5039.993504,202.49169799999999,54.114921,5296.600123
TIME 2018-10-31 19:00:04,5040.088928,202.286778,54.180158999999996,5296.555864999999
TIME 2018-10-31 19:15:04,5039.269872,202.297024,54.169286,5295.736182000001
TIME 2018-10-31 19:30:05,5037.146688,202.245794,54.125794,5293.518276
TIME 2018-10-31 19:45:04,5036.383296,202.286778,54.082302,5292.7523759999995
TIME 2018-10-31 20:00:04,5042.991408,202.522436,54.256269999999994,5299.770114
TIME 2018-10-31 20:15:04,5041.082928000001,202.14333399999998,54.191032,5297.417294000001
TIME 2018-10-31 20:30:05,5037.981648,202.184318,54.114921,5294.280887
TIME 2018-10-31 20:45:04,5036.733184000001,202.133088,54.10404799999999,5292.97032
TIME 2018-10-31 21:00:04,5034.872416,202.26628599999998,54.10404799999999,5291.24275
TIME 2018-10-31 21:15:04,5027.779232,202.133088,54.169286,5284.081606
TIME 2018-10-31 21:30:04,5039.969648,202.225302,54.136666999999996,5296.331617
TIME 2018-10-31 21:45:05,5040.844368,202.317516,54.158412999999996,5297.320297
TIME 2018-10-31 22:00:04,5043.897936,202.53268199999997,54.158412999999996,5300.589031
TIME 2018-10-31 22:15:04,5041.822464,202.645388,54.245397,5298.713248999999
TIME 2018-10-31 22:30:04,5039.492528000001,202.573666,54.245397,5296.311591000001
TIME 2018-10-31 22:45:04,5040.6853280000005,202.655634,54.245397,5297.586359
TIME 2018-10-31 23:00:05,5037.7033280000005,202.573666,54.082302,5294.3592960000005
TIME 2018-10-31 23:15:04,5039.039264,202.61464999999998,54.10404799999999,5295.757962000001
TIME 2018-10-31 23:30:05,5039.651568,202.542928,54.071428999999995,5296.265925
TIME 2018-10-31 23:45:05,5039.65952,202.61464999999998,54.082302,5296.356472
TIME 2018-11-01 00:00:06,5047.341152,203.003998,54.245397,5304.590547
TIME 2018-11-01 00:15:05,5040.168448,202.635142,54.136666999999996,5296.940257
TIME 2018-11-01 00:30:09,5040.653520000001,202.573666,54.114921,5297.342107000001
TIME 2018-11-01 07:15:04,5041.711136,202.378992,54.049682999999995,5298.139811
TIME 2018-11-01 08:30:04,5046.951504000001,202.27653199999997,54.201905,5303.429941
TIME 2018-11-01 10:15:04,5046.800416,202.286778,54.288889,5303.376083
TIME 2018-11-01 10:45:05,5044.279632,202.348254,54.278016,5300.905902
TIME 2018-11-01 11:00:05,5045.210016,202.348254,54.288889,5301.847159
TIME 2018-11-01 11:15:05,5046.752704,202.49169799999999,54.517222,5303.761624000001
TIME 2018-11-01 11:30:04,5048.7645600000005,202.53268199999997,54.441111,5305.738353000001
TIME 2018-11-01 11:45:04,5050.506048,202.55317399999998,54.462857,5307.522079
TIME 2018-11-01 12:00:04,5049.1939680000005,202.46095999999997,54.41936499999999,5306.074293000001
TIME 2018-11-01 12:15:05,5056.406432,202.583912,54.451983999999996,5313.442328
TIME 2018-11-01 12:30:04,5062.688512000001,202.655634,54.560714,5319.904860000001
TIME 2018-11-01 12:45:49,5053.6948,202.56341999999998,54.41936499999999,5310.677585
TIME 2018-11-01 21:30:05,5092.929968,204.653604,55.321824,5352.905396
TIME 2018-11-01 21:45:05,5089.534464,204.55114399999997,55.278332,5349.36394
TIME 2018-11-01 22:00:04,5090.19448,204.489668,55.23483999999999,5349.918988
TIME 2018-11-01 22:15:05,5085.637984,204.499914,55.245713,5345.383611
TIME 2018-11-01 22:30:04,5085.534608,204.520406,55.289204999999995,5345.344219
TIME 2018-11-01 22:45:05,5086.679696,204.51015999999998,55.256586,5346.446442
TIME 2018-11-01 23:00:42,5087.363568000001,204.499914,55.267458999999995,5347.130941
TIME 2018-11-01 23:15:05,5086.544512,204.540898,55.256586,5346.341996000001
TIME 2018-11-01 23:30:04,5087.904304000001,204.47942199999997,55.213094,5347.596820000001
TIME 2018-11-01 23:45:05,5088.6676959999995,204.47942199999997,55.202221,5348.349338999999
TIME 2018-11-02 00:00:04,5087.2840479999995,204.29499399999997,55.12611,5346.7051519999995
TIME 2018-11-02 00:15:04,5080.803168,203.99785999999997,55.028253,5339.829281000001
TIME 2018-11-02 00:30:04,5077.31224,203.967122,55.006507,5336.285869
TIME 2018-11-02 00:45:04,5080.238576000001,204.06958199999997,54.973888,5339.282046000001
TIME 2018-11-02 07:15:05,5089.446992,205.299102,55.941584999999996,5350.687679
TIME 2018-11-02 07:45:04,5094.464704000001,205.391316,56.082933999999995,5355.938954000001
TIME 2018-11-02 08:00:04,5098.0272,205.862632,56.256902,5360.146734000001
TIME 2018-11-02 08:15:04,5096.412944000001,207.02043,56.213409999999996,5359.6467840000005
TIME 2018-11-02 08:30:04,5091.999584,206.836002,56.061188,5354.896774
TIME 2018-11-02 08:45:06,5087.832736,206.08804399999997,56.15904499999999,5350.079825000001
TIME 2018-11-02 09:00:05,5088.36552,206.20075,56.191663999999996,5350.757934
TIME 2018-11-02 09:15:04,5090.727264,206.907724,56.180791,5353.815779
TIME 2018-11-02 09:30:05,5083.753360000001,206.139274,55.99594999999999,5345.888584
