"restaurant_name","cuisines","cost","timings","collections","url"
"Amul","Ice Cream, Desserts",150,"10am – 5am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/amul-gachibowli"
"Pot Pourri","Andhra, South Indian, North Indian",900,NA,NA,"https://www.zomato.com/hyderabad/pot-pourri-gachibowli"
"Hunger Maggi Point","Fast Food",200,"4:30pm – 5:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hunger-maggi-point-gachibowli"
"Karachi Cafe","Cafe, Desserts, Fast Food",600,"10am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/karachi-cafe-gachibowli"
"Deli 9 Bistro","Cafe, Continental, Desserts",700,"12noon – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/deli-9-bistro-gachibowli"
"The Glass Onion","North Indian, Continental, Italian, Asian",1200,"12noon – 11pm (Mon, Tue, Wed, Thu, Sun), 12noon...","Fancy and Fun , Hyderabad's Hottest","https://www.zomato.com/hyderabad/the-glass-onion-gachibowli"
"Club Rogue","North Indian, Fast Food",900,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/club-rogue-gachibowli"
"Banana Leaf Multicuisine Restaurant","Biryani, South Indian, North Indian, Chinese, Andhra",700,"12:30pm – 3:30pm, 7pm – 10:40pm (Mon-Sun)","Great Buffets","https://www.zomato.com/hyderabad/banana-leaf-multicuisine-restaurant-gachibowli"
"Pista House","Bakery, North Indian, Mughlai, Juices, Chinese",1000,"11am – 12midnight (Mon-Sun)","Haleem","https://www.zomato.com/hyderabad/pista-house-2-gachibowli"
"The Indi Grill","BBQ, Asian, Modern Indian",1500,"12noon – 11pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest","https://www.zomato.com/hyderabad/the-indi-grill-gachibowli"
"Kritunga Restaurant","Andhra, Biryani, Hyderabadi, North Indian",500,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kritunga-restaurant-gachibowli"
"Karachi Bakery","Bakery, Fast Food, Desserts",500,"10am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/karachi-bakery-gachibowli"
"Green Bawarchi Restaurant","North Indian, Chinese, Biryani",700,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/green-bawarchi-restaurant-gachibowli"
"American Wild Wings","American, Fast Food, Salad, Burger",600,"12noon – 4am (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/american-wild-wings-gachibowli"
"Behrouz Biryani","Mughlai, Biryani",600,"10am – 1am (Mon-Sun)","Brilliant Biryanis","https://www.zomato.com/hyderabad/behrouz-biryani-gachibowli"
"The Foodie Monster Kitchen","American, Wraps, Desserts",500,"7am – 1am (Mon-Sun)","Great Breakfasts, Late Night Restaurants, Best shawarmas","https://www.zomato.com/hyderabad/the-foodie-monster-kitchen-gachibowli"
