Sr. No.,Workex,,,
319,31.0000,,,
320,71.0000,,,
321,34.0000,,,
322,46.0000,,,
323,122.0000,,,
324,29.0000,,,
325,70.0000,,,
326,43.0000,,,
327,69.0000,,,
328,43.0000,,,
329,44.0000,,,
330,57.0000,,,
331,70.0000,,,
332,44.0000,,,
333,35.0000,,,
334,58.0000,,,
335,40.0000,,,
336,33.0000,,,
337,79.0000,,,
338,46.0000,,,
339,81.0000,,,
340,29.0000,,,
341,69.0000,,,
342,24.0000,,,
343,58.0000,,,
344,69.0000,,,
345,45.0000,,,
346,57.0000,,,
347,69.0000,,,
348,33.0000,,,
349,34.0000,,,
350,29.0000,,,
351,57.0000,,,
352,40.0000,,,
353,93.0000,,,
354,29.0000,,,
355,98.0000,,,
356,36.0000,,,
357,54.0000,,,
358,54.0000,,,
359,52.0000,,,
360,141.0000,,,
361,81.0000,,,
362,44.0000,,,
363,57.0000,,,
364,54.0000,,,
365,59.0000,,,
366,62.0000,,,
367,58.0000,,,
368,46.0000,,,
369,39.0000,,,
370,44.0000,,,
371,91.0000,,,
372,84.0000,,,
373,69.0000,,,
374,57.0000,,,
375,33.0000,,,
376,92.0000,,,
377,44.0000,,,
378,33.0000,,,
379,46.0000,,,
380,105.0000,,,
381,33.0000,,,
382,45.0000,,,
383,44.0000,,,
384,34.0000,,,
385,124.0000,,,
386,32.0000,,,
387,43.0000,,,
388,44.0000,,,
389,93.0000,,,
390,34.0000,,,
391,75.0000,,,
392,92.0000,,,
393,70.0000,,,
394,60.0000,,,
395,36.0000,,,
396,68.0000,,,
397,35.0000,,,
398,70.0000,,,
399,34.0000,,,
400,34.0000,,,
401,36.0000,,,
402,69.0000,,,
403,45.0000,,,
404,81.0000,,,
405,78.0000,,,
406,34.0000,,,
407,43.0000,,,
408,58.0000,,,
409,82.0000,,,
410,62.0000,,,
411,50.0000,,,
412,70.0000,,,
413,33.0000,,,
414,99.0000,,,
415,30.0000,,,
416,46.0000,,,
417,48.0000,,,
418,46.0000,,,
419,43.0000,,,
420,58.0000,,,
421,58.0000,,,
422,34.0000,,,
423,46.0000,,,
424,56.0000,,,
425,33.0000,,,
426,92.0000,,,
427,31.0000,,,
428,33.0000,,,
429,69.0000,,,
430,53.0000,,,
431,119.0000,,,
432,30.0000,,,
433,33.0000,,,
434,43.0000,,,
435,78.0000,,,
436,70.0000,,,
437,69.0000,,,
438,56.0000,,,
439,9.0000,,,
440,38.0000,,,
441,82.0000,,,
442,44.0000,,,
443,74.0000,,,
444,33.0000,,,
445,72.0000,,,
446,57.0000,,,
447,29.0000,,,
448,44.0000,,,
449,79.0000,,,
450,30.0000,,,
451,34.0000,,,
452,81.0000,,,
453,45.0000,,,
454,83.0000,,,
455,33.0000,,,
456,58.0000,,,
457,72.0000,,,
458,58.0000,,,
459,66.0000,,,
460,44.0000,,,
461,45.0000,,,
462,81.0000,,,
463,33.0000,,,
464,31.0000,,,
465,82.0000,,,
466,30.0000,,,
467,81.0000,,,
468,47.0000,,,
469,93.0000,,,
470,22.0000,,,
471,58.0000,,,
472,57.0000,,,
473,24.0000,,,
474,39.0000,,,
475,40.0000,,,
476,57.0000,,,
477,44.0000,,,
478,50.0000,,,
479,34.0000,,,
480,92.0000,,,
481,43.0000,,,
482,106.0000,,,
483,43.0000,,,
484,69.0000,,,
485,57.0000,,,
486,43.0000,,,
487,101.0000,,,
488,130.0000,,,
489,33.0000,,,
490,58.0000,,,
491,57.0000,,,
492,81.0000,,,
493,94.0000,,,
494,58.0000,,,
495,56.0000,,,
496,57.0000,,,
497,45.0000,,,
498,79.0000,,,
499,58.0000,,,
500,43.0000,,,
501,42.0000,,,
502,68.0000,,,
503,22.0000,,,
504,27.0000,,,
505,41.0000,,,
506,42.0000,,,
507,79.0000,,,
508,85.0000,,,
509,59.0000,,,
510,40.0000,,,
511,81.0000,,,
512,52.0000,,,
513,34.0000,,,
514,71.0000,,,
515,53.0000,,,
516,32.0000,,,
517,45.0000,,,
518,69.0000,,,
519,44.0000,,,
520,45.0000,,,
521,118.0000,,,
522,45.0000,,,3.208604211
523,46.0000,,,
524,81.0000,,,
525,34.0000,,,
526,52.0000,,,
527,69.0000,,,
528,83.0000,,,
529,39.0000,,,
530,69.0000,,,
531,31.0000,,,
532,33.0000,,,
533,56.0000,,,
534,32.0000,,,
535,43.0000,,,
536,89.0000,,,
537,68.0000,,,
538,93.0000,,,
539,69.0000,,,
540,68.0000,,,
541,23.0000,,,
542,50.0000,,,
543,33.0000,,,
544,39.0000,,,
545,34.0000,,,
546,69.0000,,,
547,34.0000,,,
548,31.0000,,,
549,29.0000,,,
550,46.0000,,,
551,44.0000,,,
552,38.0000,,,
553,88.0000,,,
554,132.0000,,,
555,10.0000,,,
Population Mean,57.35,,,
Population SD,27.18,,,
,3.40,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
