"movie.name","movie.cast","movie.link","year","votes","rating"
"One Flew Over the Cuckoo's Nest","Milos Forman (dir.), Jack Nicholson, Louise Fletcher","http://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16","1975",822016,8.7
"Goodfellas","Martin Scorsese (dir.), Robert De Niro, Ray Liotta","http://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17","1990",894725,8.7
"The Matrix","Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne","http://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18","1999",1488600,8.6
"Shichinin no samurai","Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura","http://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19","1954",279943,8.6
"Se7en","David Fincher (dir.), Morgan Freeman, Brad Pitt","http://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20","1995",1271093,8.6
"Cidade de Deus","Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino","http://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21","2002",637568,8.6
"Star Wars","George Lucas (dir.), Mark Hamill, Harrison Ford","http://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22","1977",1109421,8.6
"The Silence of the Lambs","Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins","http://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23","1991",1118395,8.6
"It's a Wonderful Life","Frank Capra (dir.), James Stewart, Donna Reed","http://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24","1946",352746,8.6
"La vita è bella","Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi","http://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25","1997",545066,8.6
"Sen to Chihiro no kamikakushi","Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette","http://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26","2001",549203,8.5
"Saving Private Ryan","Steven Spielberg (dir.), Tom Hanks, Matt Damon","http://www.imdb.com/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27","1998",1095865,8.5
